create_time,bid,campaign_id,custom_track,group_id,job_id,publisher_id,ts
f51b3760-0d5b-11ed-bbb0-4c22e5eecd95,,,,,,,2022-07-27 03:26:00
ab41a2c0-08bd-11ed-a500-ee461bf3b3b7,,,,,,,2022-07-21 06:23:00
39ad6490-fea0-11ec-976c-64f6c9f13454,2,4,click,,98,1,2022-07-08 09:27:00
9d01f2b0-0bff-11ed-8a7d-f04b8cc7797c,,,alive,,,,2022-07-25 09:53:00
4d29d790-0d61-11ed-aecd-cc710c7e230d,1,15,,,336,1,2022-07-27 04:05:00
6fec8b90-0d63-11ed-a285-354c488a1618,0,222,,,1532,1,2022-07-27 04:20:00
0ebf8b00-fdd8-11ec-8534-d072b046799c,,,,,,,2022-07-07 09:34:00
c84ad690-0d61-11ed-aea8-d285fab80dff,,,alive,,,,2022-07-27 04:08:00
89b09830-0cb1-11ed-a919-3e7dcde707ae,0,222,click,,1533,1,2022-07-26 07:06:00
6b0ced30-0189-11ed-bf8d-2e97a9c1878c,,,click,,,,2022-07-12 02:22:00
de260920-0c13-11ed-b30a-d16299bfeaa7,,,,,,,2022-07-25 12:18:00
019dbd20-fea0-11ec-a7d5-84df3c01d3b9,,,alive,,,,2022-07-08 09:26:00
c4915be0-0bff-11ed-9749-c77ac556542a,0,222,,,1531,1,2022-07-25 09:54:00
b8d6cf20-0735-11ed-9fa5-5f94bf699022,,,click,,,,2022-07-19 07:38:00
65b61590-0cb1-11ed-97eb-f0b53e498660,,,alive,,,,2022-07-26 07:05:00
aa327440-0c00-11ed-baf0-967d65f43416,0,222,click,,1527,1,2022-07-25 10:00:00
e077e8e0-fea0-11ec-b78c-452a1f4754a3,,,alive,,,,2022-07-08 09:32:00
39245570-0b38-11ed-bb09-9050cf608018,1,48,,34,188,1,2022-07-24 10:06:00
d9d784b0-018d-11ed-b080-899fc67901e9,,,click,,,,2022-07-12 02:53:00
ce7fdae0-fea4-11ec-b5b9-3b7f72942581,,,,,,,2022-07-08 10:00:00
bbf22320-0d7b-11ed-bb86-36be1a62ee77,,,,,,,2022-07-27 07:14:00
f43eadd0-072b-11ed-9ef0-cf55ae01de76,,,,,,,2022-07-19 06:28:00
847ed1d0-0890-11ed-a4a6-605bfadab29b,,,,,,,2022-07-21 01:00:00
9e9b6a20-0209-11ed-9bc0-aad1bcf4597c,,,,,,,2022-07-12 17:39:00
d024ff60-fea4-11ec-bd27-28161fc115c5,,,,,,,2022-07-08 10:00:00
cbbdec90-0b59-11ed-9178-30cc40a6d314,1,48,,34,188,1,2022-07-24 14:06:00
31d3ed80-0b38-11ed-8fa1-6ca524583db3,1,48,click,34,188,1,2022-07-24 10:05:00
aecb7980-0d62-11ed-a804-621bda860cd0,,,alive,,,,2022-07-27 04:15:00
3e8c0450-0713-11ed-8fce-f2804de3333c,,,,,,,2022-07-19 03:31:00
4ea60400-00ef-11ed-9f3d-b0167ed2127b,,,,,,,2022-07-11 07:58:00
56aa70c0-07e1-11ed-8c76-40675d6ce9e6,,,,,,,2022-07-20 04:06:00
2e1251a0-0b38-11ed-96b2-d3ff82b228ec,1,48,,34,188,1,2022-07-24 10:05:00
c33e4420-0d61-11ed-b888-9133e52bafcf,2,4,click,,98,1,2022-07-27 04:08:00
9c8b2c10-0caf-11ed-a423-010450ddb126,,,alive,,,,2022-07-26 06:53:00
7267b7d0-00f9-11ed-b97c-e8ca5ddcab40,,,,,,,2022-07-11 09:11:00
d3a7f680-fea2-11ec-b017-5456e5f3640e,,,alive,,,,2022-07-08 09:46:00
34249bd0-0b5a-11ed-ac04-0cee9a781a91,1,48,,34,188,1,2022-07-24 14:09:00
e1415360-0382-11ed-b1ba-f92fac83f766,,,click,,,,2022-07-14 14:40:00
3cf6c1c0-0b5a-11ed-b395-f00a1146d2bf,1,48,,34,188,1,2022-07-24 14:09:00
